CODGEO,salaire_moyen,REG,DEP,ent_total,pop_totale,age_moyen,densite_commune,IDF,ratio_homme,ratio_femme,ratio_solo,ratio_e2p,ratio_ase,ratio_e1p,ratio_ac,ratio_ace,ratio_str,ratio_ETI_GE,ratio_PME,ratio_TPE,ratio_enfant,ratio_jeune_actif,ratio_actif,ratio_senior_actif,ratio_senior
07070,13.1,84,7,85,2204,40.25635208711434,2,0,0.4882032667876588,0.5117967332123412,0.09800362976406533,0.24047186932849365,0.024500907441016333,0.044918330308529944,0.29945553539019965,0.2767695099818512,0.01588021778584392,0.0,0.011764705882352941,0.27058823529411763,0.29038112522686027,0.07259528130671507,0.3661524500907441,0.05353901996370236,0.21733212341197822
07076,14.5,84,7,115,2794,35.1932712956335,1,0,0.4824624194702935,0.5175375805297066,0.1309949892627058,0.2465998568360773,0.03865425912670007,0.0658554044380816,0.2143879742304939,0.2777380100214746,0.025769506084466716,0.008695652173913044,0.05217391304347826,0.20869565217391303,0.32247673586256265,0.14352183249821046,0.3457408732999284,0.047959914101646385,0.14030064423765212
07078,13.0,84,7,370,2980,41.355704697986575,2,0,0.47953020134228186,0.5204697986577181,0.10671140939597315,0.22046979865771812,0.03557046979865772,0.05067114093959731,0.324496644295302,0.24630872483221478,0.015771812080536914,0.0,0.12162162162162163,0.4648648648648649,0.2691275167785235,0.07751677852348993,0.3493288590604027,0.10805369127516778,0.1959731543624161
07102,13.4,84,7,640,10673,43.430619319778884,3,0,0.4621943221212405,0.5378056778787594,0.19628970298885037,0.15899934413941721,0.03494799962522253,0.049002154970486274,0.3351447578000562,0.20050594959242948,0.0251100908835379,0.0078125,0.0828125,0.3296875,0.23967019582123114,0.11814859926918392,0.2909210156469596,0.07898435304038227,0.27227583622224305
07129,10.9,84,7,235,2241,46.320838911200354,1,0,0.5064703257474342,0.49352967425256583,0.20794288264167782,0.16733601070950468,0.031236055332440876,0.051316376617581434,0.32574743418116914,0.20080321285140562,0.015618027666220438,0.0,0.03829787234042553,0.39574468085106385,0.214190093708166,0.07809013833110219,0.3101294065149487,0.08701472556894244,0.31057563587684067
07181,12.0,84,7,233,2650,39.60943396226415,1,0,0.47245283018867923,0.5275471698113208,0.15396226415094338,0.23849056603773586,0.0369811320754717,0.04943396226415094,0.25660377358490566,0.25018867924528304,0.014339622641509434,0.0,0.10300429184549356,0.30042918454935624,0.290188679245283,0.09169811320754717,0.3475471698113208,0.07924528301886792,0.19132075471698112
07186,12.2,84,7,690,7595,41.25148123765635,2,0,0.47465437788018433,0.5253456221198156,0.2578011849901251,0.16919025674786042,0.05358788676761027,0.08531928900592495,0.2281764318630678,0.18775510204081633,0.018169848584595128,0.002898550724637681,0.07971014492753623,0.4,0.26148782093482553,0.11217906517445687,0.3356155365371955,0.07636603028308098,0.21435154707044107
07191,15.4,84,7,132,2276,38.58084358523726,1,0,0.45474516695957823,0.5452548330404218,0.11423550087873462,0.2618629173989455,0.028558875219683654,0.0351493848857645,0.2680140597539543,0.2680140597539543,0.024165202108963092,0.0,0.030303030303030304,0.20454545454545456,0.30360281195079086,0.10764499121265378,0.30096660808435854,0.06810193321616871,0.21968365553602812
07197,12.5,84,7,89,2708,39.905834564254064,2,0,0.5088626292466765,0.4911373707533235,0.08899556868537666,0.24409158050221566,0.0361890694239291,0.05132939438700148,0.28840472673559825,0.259231905465288,0.03175775480059084,0.0,0.02247191011235955,0.2808988764044944,0.2813884785819793,0.08124076809453472,0.35782865583456425,0.09231905465288036,0.18722304283604135
07201,10.5,84,7,293,1905,48.70341207349082,1,0,0.47611548556430444,0.5238845144356955,0.2188976377952756,0.12808398950131233,0.029921259842519685,0.048293963254593175,0.4068241469816273,0.15695538057742783,0.011023622047244094,0.0,0.04778156996587031,0.3242320819112628,0.1994750656167979,0.08766404199475065,0.22782152230971128,0.10341207349081365,0.3816272965879265
07204,11.2,84,7,200,2354,42.98640611724724,1,0,0.5165675446049278,0.48343245539507224,0.1661002548853016,0.2141036533559898,0.025488530161427356,0.03610875106202209,0.28802039082412917,0.24893797790994052,0.021240441801189464,0.0,0.065,0.285,0.23916737468139337,0.10110450297366186,0.37085811384876805,0.08708581138487681,0.2017841971112999
07231,12.5,84,7,184,2553,42.78104191147669,2,0,0.48217783000391695,0.517822169996083,0.12534273403838622,0.1934978456717587,0.036036036036036036,0.053270661966314144,0.3345084214649432,0.2099490795142969,0.04739522130826479,0.005434782608695652,0.04891304347826087,0.2717391304347826,0.2596944770857814,0.06423815119467294,0.35135135135135137,0.08108108108108109,0.2436349392871132
07240,13.9,84,7,95,2058,38.20456754130223,2,0,0.4849368318756074,0.5150631681243926,0.07094266277939747,0.2555879494655005,0.034499514091350825,0.05344995140913508,0.2687074829931973,0.29397473275024294,0.0228377065111759,0.0,0.031578947368421054,0.18947368421052632,0.3022351797862002,0.08649173955296405,0.37123420796890183,0.0782312925170068,0.1618075801749271
07245,13.5,84,7,140,2361,43.79711986446421,2,0,0.4938585345192715,0.5061414654807285,0.13087674714104194,0.2121982210927573,0.03473104616687844,0.052096569250317665,0.30241423125794153,0.23972892842016094,0.02795425667090216,0.0,0.05,0.30714285714285716,0.2481999152901313,0.07666243117323168,0.3418043202033037,0.08132147395171538,0.25201185938161796
07264,15.3,84,7,125,2362,40.607535986452156,1,0,0.5131244707874683,0.48687552921253174,0.1388653683319221,0.21210838272650295,0.0283657917019475,0.03937341236240474,0.28450465707027944,0.25867908552074514,0.03810330228619814,0.0,0.032,0.176,0.264606265876376,0.07535986452159187,0.41998306519898393,0.07747671464860288,0.16257408975444537
07281,15.2,84,7,532,7218,40.17594901634802,2,0,0.4921030756442228,0.5078969243557773,0.1113881961762261,0.22360764754779716,0.03740648379052369,0.059850374064837904,0.29301745635910226,0.26129121640343583,0.01343862565807703,0.0,0.06015037593984962,0.29699248120300753,0.2805486284289277,0.09060681629260182,0.3523136602937102,0.06469936270435024,0.21183153228041007
07308,12.5,84,7,103,1985,38.40302267002519,2,0,0.4836272040302267,0.5163727959697733,0.13904282115869018,0.22770780856423173,0.042821158690176324,0.07506297229219143,0.24080604534005037,0.25591939546599496,0.018639798488664986,0.009708737864077669,0.038834951456310676,0.2815533980582524,0.3128463476070529,0.09722921914357682,0.32544080604534004,0.054408060453400506,0.21007556675062972
07316,14.9,84,7,139,2052,38.08966861598441,2,0,0.49707602339181284,0.5029239766081871,0.09210526315789473,0.23538011695906433,0.031189083820662766,0.04532163742690058,0.310916179337232,0.26949317738791423,0.015594541910331383,0.0,0.02877697841726619,0.2733812949640288,0.27582846003898637,0.11695906432748537,0.3820662768031189,0.08528265107212475,0.1398635477582846
07319,12.4,84,7,489,8176,39.05210371819961,2,0,0.4845890410958904,0.5154109589041096,0.16218199608610567,0.21771037181996086,0.04403131115459882,0.07191780821917808,0.2449853228962818,0.22541585127201566,0.0337573385518591,0.0,0.03885480572597137,0.261758691206544,0.3028375733855186,0.08977495107632094,0.34882583170254405,0.06531311154598826,0.19324853228962818
07324,12.9,84,7,768,10063,38.436847858491504,2,0,0.47729305376130376,0.5227069462386962,0.1894067375534135,0.2127596144290967,0.04014707343734473,0.06439431581039451,0.24604988571996422,0.2255788532246845,0.021663519825101858,0.005208333333333333,0.057291666666666664,0.3346354166666667,0.30517738249031107,0.1200437245354268,0.31968597833648016,0.06121434959753553,0.19387856504024645
07325,13.2,84,7,90,1966,40.93082400813835,2,0,0.5055951169888098,0.49440488301119023,0.1266531027466938,0.21414038657171922,0.03255340793489318,0.056968463886063074,0.29196337741607326,0.25534079348931843,0.022380467955239063,0.0,0.03333333333333333,0.18888888888888888,0.26703967446592064,0.07171922685656154,0.3708036622583927,0.0681586978636826,0.22227873855544253
07330,11.7,84,7,402,2182,43.05912007332722,1,0,0.5187901008249313,0.48120989917506873,0.17873510540788268,0.18835930339138404,0.028872593950504125,0.035747021081576534,0.32630614115490375,0.2080659945004583,0.03391384051329056,0.0,0.014925373134328358,0.22388059701492538,0.22731439046746105,0.11136571952337306,0.3295142071494042,0.09532538955087076,0.23648029330889092
